ID	InsYear	BreakAge	Age	Length	Dia	Material	S_Year	Failure
1	1967	NULL	57	2.79	6	DI-C1	NULL	0
2	1962	NULL	62	1.93	6	CI-C3	NULL	0
3	1962	NULL	62	1.64	6	CI-C3	NULL	0
4	1984	NULL	40	5.97	6	DI-C2	NULL	0
5	1984	NULL	40	1.59	6	DI-C2	NULL	0
6	1984	NULL	40	2307	16	DI-C2	NULL	0
7	1959	NULL	65	2.76	24	CI-C3	NULL	0
8	1959	NULL	65	3.01	4	CI-C3	NULL	0
9	1959	NULL	65	2.85	24	CI-C3	NULL	0
10	1992	NULL	32	4.15	8	DI-C3	NULL	0
11	1992	NULL	32	5.3	36	DI-C3	NULL	0
12	1992	NULL	32	3.03	4	DI-C3	NULL	0
13	1961	NULL	63	73.83	6	AC-LP	NULL	0
14	1965	NULL	59	2.44	6	DI-C1	NULL	0
15	1970	NULL	54	75.6	6	CI-C3	NULL	0
16	1999	NULL	25	104.05	8	DI-C3	NULL	0
17	2000	NULL	24	54.99	8	DI-C3	NULL	0
18	1957	NULL	67	3820.63	6	CI-C3	NULL	0
19	1957	59	67	2048.98	6	CI-C3	30	1
19	1957	57	67	2048.98	6	CI-C3	28	1
19	1957	54	67	2048.98	6	CI-C3	25	1
19	1957	42	67	2048.98	6	CI-C3	13	1
19	1957	47	67	2048.98	6	CI-C3	18	1
19	1957	57	67	2048.98	6	CI-C3	28	1
19	1957	58	67	2048.98	6	CI-C3	29	1
19	1957	43	67	2048.98	6	CI-C3	14	1
20	2008	NULL	16	160.98	8	DI-C3	NULL	0
21	1997	NULL	27	34.12	6	DI-C3	NULL	0
22	1984	NULL	40	20.39	10	DI-C2	NULL	0
23	1965	NULL	59	2.65	6	DI-C1	NULL	0
24	1979	NULL	45	7.38	10	DI-C1	NULL	0
25	1973	NULL	51	89.08	8	DI-C1	NULL	0
26	1992	NULL	32	257.87	8	DI-C3	NULL	0
27	1989	NULL	35	176.72	8	DI-C2	NULL	0
28	1992	NULL	32	95.54	8	DI-C3	NULL	0
