Failure_ID	ID	BreakDate	BreakYear	SourceTxt_ID	Material	InstallYear	Age	RR_Diameter	Length(ft)	OrgDiameter	OrgMaterial	OrgInstallYear	Status	BreakAge
234887	19	00:00.0	2014	16-159WR1957-1	CI	1957	68	6	2048.98	6	CI	1957	1	57
234888	19	00:00.0	2016	16-159WR1957-1	CI	1957	68	6	2048.98	6	CI	1957	1	59
235050	19	00:00.0	2015	16-159WR1957-1	CI	1957	68	6	2048.98	6	CI	1957	1	58
235051	19	00:00.0	2014	16-159WR1957-1	CI	1957	68	6	2048.98	6	CI	1957	1	57
238947	53	30:00.0	2022	15-237-25971662	CI	1970	55	6	256.33	6	CI	1970	1	52
238057	68	00:00.0	2021	15-236-36450649	DI	1981	44	8	1099.97	8	DI	1981	1	40
235045	68	00:00.0	2016	15-236-36450649	DI	1981	44	8	1099.97	8	DI	1981	1	35
233084	83	00:00.0	2018	18-213-03592242	DI	1988	37	10	529.14	10	DI	1988	1	30
235248	106	00:00.0	2017	15-236-33320957	CI	1911	114	6	1979.46	6	CI	1911	1	106
240381	106	00:00.0	2024	15-236-33320957	CI	1911	114	6	1979.46	6	CI	1911	1	113
240127	107	00:00.0	2023	15-236-37031749	CI	1911	114	6	760.95	6	CI	1911	1	112
240164	107	30:00.0	2023	15-236-37031749	CI	1911	114	6	760.95	6	CI	1911	1	112
237547	107	00:00.0	2020	15-236-37031749	CI	1911	114	6	760.95	6	CI	1911	1	109
238341	126	00:00.0	2021	15-118-1956	GA	1956	69	2	60.29	2	GA	1956	1	65
239986	126	30:00.0	2023	15-118-1956	GA	1956	69	2	60.29	2	GA	1956	1	67
235000	166	00:00.0	2017	18-7-95987426	PVC	1992	33	6	377.14	6	PVC	1992	1	25
239002	174	00:00.0	2022	18-211WR135-1-63	CI	1963	62	6	510.12	6	CI	1963	1	59
239445	204	30:00.0	2022	12-229-1975-1	CI	1975	50	8	71.53	8	CI	1975	1	47
240388	249	30:00.0	2024	15-2241975	CI	1975	50	6	18.44	6	CI	1975	1	49
235973	260	00:00.0	2014	15-066-1973-001	CI	1973	52	6	2340.65	6	CI	1973	1	41
236077	260	00:00.0	2017	15-066-1973-001	CI	1973	52	6	2340.65	6	CI	1973	1	44
235609	300	00:00.0	2017	18-037WR34-8-94-3-1	PVC	1984	41	8	1681.17	8	PVC	1984	1	33
233213	303	00:00.0	2015	16-043-39502353	AC	1956	69	6	2428.31	6	AC	1956	1	59
232795	303	00:00.0	2016	16-043-39502353	AC	1956	69	6	2428.31	6	AC	1956	1	60
234890	328	00:00.0	2016	16-002WR13-0-1-1	PVC	1981	44	8	1145.19	8	PVC	1981	1	35
234824	328	00:00.0	2015	16-002WR13-0-1-1	PVC	1981	44	8	1145.19	8	PVC	1981	1	34
239809	328	00:00.0	2023	16-002WR13-0-1-1	PVC	1981	44	8	1145.19	8	PVC	1981	1	42
238218	328	30:00.0	2021	16-002WR13-0-1-1	PVC	1981	44	8	1145.19	8	PVC	1981	1	40
237133	329	00:00.0	2024	16-002WR13-0-1-2	PVC	1981	44	8	499.27	8	PVC	1981	1	43
234819	331	00:00.0	2017	16-002WR09-4-1-1	PVC	1981	44	6	307.91	6	PVC	1981	1	36
234672	331	00:00.0	2018	16-002WR09-4-1-1	PVC	1981	44	6	307.91	6	PVC	1981	1	37
237912	331	00:00.0	2021	16-002WR09-4-1-1	PVC	1981	44	6	307.91	6	PVC	1981	1	40
238307	347	00:00.0	2021	18-275WC28-4-2-2	DI	2004	21	8	514.6	8	DI	2004	1	17
233803	363	00:00.0	2017	18-340CFUNK	CI	1910	115	6	71.76	6	CI	UNK	1	107
233811	407	00:00.0	2018	18-308WR08-4-6	DI	1979	46	8	261.74	8	DI	1979	1	39
234543	446	00:00.0	2014	18-198WR2339-73-4-2	DI	1975	50	10	10068.96	10	DI	1975	1	39
234544	446	00:00.0	2014	18-198WR2339-73-4-2	DI	1975	50	10	10068.96	10	DI	1975	1	39
234545	446	00:00.0	2019	18-198WR2339-73-4-2	DI	1975	50	10	10068.96	10	DI	1975	1	44
234547	446	00:00.0	2017	18-198WR2339-73-4-2	DI	1975	50	10	10068.96	10	DI	1975	1	42
234548	446	00:00.0	2014	18-198WR2339-73-4-2	DI	1975	50	10	10068.96	10	DI	1975	1	39
234237	446	00:00.0	2018	18-198WR2339-73-4-2	DI	1975	50	10	10068.96	10	DI	1975	1	43
234238	446	00:00.0	2016	18-198WR2339-73-4-2	DI	1975	50	10	10068.96	10	DI	1975	1	41
234375	446	00:00.0	2016	18-198WR2339-73-4-2	DI	1975	50	10	10068.96	10	DI	1975	1	41
