Failure_ID	ID	BreakDate	BreakYear	SourceTxt_ID	Material	InstallYear	Age	RR_Diameter	Length(ft)	OrgDiameter	OrgMaterial	OrgInstallYear	Status	BreakAge
444	42	00:00.0	2018	NULL	CI	1972	53	6	1736.48	6	Cast Iron	1905	1	46
296	130	00:00.0	2015	NULL	DI	1980	45	10	1001.43	10	CI	1905	1	35
65	137	00:00.0	2021	100141	PVC900	1999	26	8	449.08	8	PVC900	1905	1	22
402	139	00:00.0	2018	NULL	PVC	1999	26	8	2102.62	8	NULL	1905	1	19
468	197	00:00.0	2019	NULL	PVC	1997	28	8	903.45	8	NULL	1905	1	22
314	242	00:00.0	2016	NULL	PVC900	1997	28	8	562.58	8	PVC900	1905	1	19
209	266	00:00.0	2014	NULL	PVC900	1999	26	8	678.18	8	PVC900	1905	1	15
139	268	00:00.0	2020	100273	PVC900	1999	26	6	334.63	6	PVC900	1905	1	21
267	313	00:00.0	2015	NULL	PVC	1982	43	8	312.46	8	NULL	1905	1	33
160	315	00:00.0	2013	NULL	PVC	1982	43	8	357.38	8	NULL	1905	1	31
121	319	00:00.0	2022	100327	DI	1986	39	12	5134	12	DI	1900	1	36
14	319	00:00.0	2020	100327	DI	1986	39	12	5134	12	DI	1900	1	34
76	344	00:00.0	2021	100358	PVC900	1983	42	10	2588.55	10	PVC900	1905	1	38
280	344	00:00.0	2015	NULL	PVC900	1983	42	10	2588.55	10	PVC900	1905	1	32
124	387	00:00.0	2022	100401	PVC900	2003	22	8	315.4	8	PVC900	1905	1	19
183	404	00:00.0	2014	NULL	PVC	1985	40	6	1715.81	6	NULL	1905	1	29
214	416	00:00.0	2014	NULL	DI	1982	43	6	2874.87	6	Ductile Iron	1905	1	32
236	416	00:00.0	2014	NULL	DI	1982	43	6	2874.87	6	Ductile Iron	1905	1	32
298	417	00:00.0	2015	NULL	DI	1982	43	6	419.36	6	Ductile Iron	1905	1	33
437	418	00:00.0	2018	NULL	PVC	1999	26	8	1040.71	8	NULL	1905	1	19
140	426	00:00.0	2020	100441	PVC	1992	33	6	1942	6	NULL	1905	1	28
349	431	00:00.0	2016	NULL	CI	1970	55	6	1564.69	6	NULL	1905	1	46
385	436	00:00.0	2017	NULL	CI	1971	54	6	166.38	6	NULL	1905	1	46
255	436	00:00.0	2015	NULL	CI	1971	54	6	166.38	6	NULL	1905	1	44
347	437	00:00.0	2016	NULL	CI	1971	54	6	351.01	6	NULL	1905	1	45
293	438	00:00.0	2015	NULL	CI	1971	54	4	518.12	4	NULL	1905	1	44
300	438	00:00.0	2016	NULL	CI	1971	54	4	518.12	4	NULL	1905	1	45
414	439	00:00.0	2018	NULL	PVC	1975	50	8	3513.51	8	NULL	1905	1	43
207	460	00:00.0	2014	NULL	PVC160	1990	35	2	1579.45	2	PVC160	1905	0	24
191	464	00:00.0	2014	NULL	PVC160	2006	19	1.5	3383.56	1.5	PVC160	1905	0	8
397	479	00:00.0	2018	NULL	DI	1970	55	8	2401.09	8	PVC	1905	1	48
386	487	00:00.0	2017	NULL	PVC900	1994	31	8	1589.05	8	PVC900	1905	1	23
308	487	00:00.0	2016	NULL	PVC900	1994	31	8	1589.05	8	PVC900	1905	1	22
185	492	00:00.0	2014	NULL	DI	1996	29	8	551.34	8	DI	1905	1	18
279	492	00:00.0	2015	NULL	DI	1996	29	8	551.34	8	DI	1905	1	19
38	526	00:00.0	2020	100552	PVC200	1985	40	6	207.16	6	PVC200	1905	1	35
220	528	00:00.0	2014	NULL	PVC	1986	39	6	785.25	6	PVC	1905	1	28
70	555	00:00.0	2021	100581	PVC200	1985	40	8	1971.1	8	PVC200	1905	1	36
348	555	00:00.0	2016	NULL	PVC200	1985	40	8	1971.1	8	PVC200	1905	1	31
352	555	00:00.0	2016	NULL	PVC200	1985	40	8	1971.1	8	PVC200	1905	1	31
362	556	00:00.0	2017	NULL	PVC	1985	40	6	1715.69	6	PVC	1905	1	32
422	565	00:00.0	2018	NULL	PVC	1985	40	6	537.17	6	PVC	1905	1	33
127	573	00:00.0	2022	100599	PVC900	1997	28	8	1592.04	8	PVC900	1900	1	25
239	580	00:00.0	2014	NULL	PVC	1985	40	6	645.53	6	PVC	1905	1	29
337	616	00:00.0	2016	NULL	PVC	1981	44	8	1048.64	8	NULL	1905	1	35
439	640	00:00.0	2018	NULL	PVC	1983	42	8	392.08	8	NULL	1905	1	35
304	663	00:00.0	2016	NULL	CI	1973	52	6	2486.71	6	NULL	1905	1	43
409	704	00:00.0	2018	NULL	PVC200	1986	39	8	4119.19	8	PVC200	1905	1	32
217	704	00:00.0	2014	NULL	PVC200	1986	39	8	4119.19	8	PVC200	1905	1	28
137	704	00:00.0	2022	100732	PVC200	1986	39	8	4119.19	8	PVC200	1905	1	36
69	710	00:00.0	2021	100738	PVC200	1977	48	6	3666.1	6	PVC200	1905	1	44
247	710	00:00.0	2014	NULL	PVC200	1977	48	6	3666.1	6	PVC200	1905	1	37
205	710	00:00.0	2014	NULL	PVC200	1977	48	6	3666.1	6	PVC200	1905	1	37
384	723	00:00.0	2017	NULL	PVC	1976	49	6	333.71	6	NULL	1905	1	41
312	727	00:00.0	2016	NULL	CI	1974	51	6	570.26	6	NULL	1905	1	42
