Failure_ID	ID	BreakDate	BreakYear	SourceTxt_ID	Material	InstallYear	Age	RR_Diameter	Length(ft)	OrgDiameter	OrgMaterial	OrgInstallYear	Status	BreakAge
1442	6893	26:01.0	2012	497555	CI	1950	75	2	367.46	2	CI	1950	1	62
1443	9510	21:51.0	2019	491320	CSC	1964	61	18	977.99	18	CSC	1964	1	55
1447	22178	35:30.0	2014	494774	CI	1960	65	6	366.47	6	CI	1960	1	54
1448	22178	00:00.0	2020	494774	CI	1960	65	6	366.47	6	CI	1960	1	60
1449	24613	12:55.0	2021	501937	PVC	1998	27	12	596.61	12	PVC	1998	1	23
1450	24641	38:52.0	2013	501965	CI	1959	66	2	434.69	2	CI	1959	1	54
1451	24641	08:27.0	2017	501965	CI	1959	66	2	434.69	2	CI	1959	1	58
1452	24641	11:20.0	2012	501965	CI	1959	66	2	434.69	2	CI	1959	1	53
1453	24641	10:50.0	2019	501965	CI	1959	66	2	434.69	2	CI	1959	1	60
1454	24641	19:27.0	2019	501965	CI	1959	66	2	434.69	2	CI	1959	1	60
1455	24641	29:07.0	2019	501965	CI	1959	66	2	434.69	2	CI	1959	1	60
1456	24731	35:07.0	2018	502059	PVC	1996	29	8	485.4	8	PVC	1996	1	22
1457	24758	56:09.0	2017	502086	CI	1960	65	8	21.59	8	CI	1960	1	57
1458	377	39:33.0	2022	489248	CI	1950	75	6	600.9	6	CI	1950	1	72
1459	10690	46:57.0	2013	491500	PVC	1986	39	12	45.57	12	PVC	1986	1	27
1460	12920	38:29.0	2020	498911	CI	1950	75	6	36.2	6	CI	1950	1	70
1462	18129	02:38.0	2014	500115	CI	1964	61	6	493.98	6	CI	1964	1	50
1463	18224	45:21.0	2018	500223	PVC	1984	41	6	248.77	6	PVC	1984	1	34
1464	20123	29:29.0	2013	500845	PVC	2009	16	6	344.37	6	PVC	2009	1	4
1487	16149	59:54.0	2014	493162	PVC	1981	44	6	254.15	6	PVC	1981	1	33
1486	16041	01:05.0	2015	493051	PVC	1990	35	2	159.31	2	PVC	1990	1	25
1485	16032	55:40.0	2014	493042	GS	1979	46	1.5	2061.07	1.5	GS	1979	1	35
1444	12247	41:42.0	2014	505061	CI	1954	71	6	241.84	6	CI	1954	1	60
1445	12399	16:11.0	2018	491941	GS	1966	59	2	98.78	2	GS	1966	1	52
