Failure_ID	ID	BreakDate	BreakYear	SourceTxt_ID	Material	InstallYear	Age	RR_Diameter	Length(ft)	OrgDiameter	OrgMaterial	OrgInstallYear	Status	BreakAge
2030	5001	00:00.0	2002	46-ENGL-A-A16	Cast Iron	1948	77	4	1447.04	4	Cast Iron	1948	1	54
2633	5001	00:00.0	2016	46-ENGL-A-A16	Cast Iron	1948	77	4	1447.04	4	Cast Iron	1948	1	68
2813	5001	00:00.0	2020	46-ENGL-A-A16	Cast Iron	1948	77	4	1447.04	4	Cast Iron	1948	1	72
2830	5001	00:00.0	2020	46-ENGL-A-A16	Cast Iron	1948	77	4	1447.04	4	Cast Iron	1948	1	72
2060	5002	00:00.0	2003	36-GRAF-R-C16	Cast Iron	1940	85	6	331.13	6	Cast Iron	1940	1	63
2248	5002	00:00.0	2007	36-GRAF-R-C16	Cast Iron	1940	85	6	331.13	6	Cast Iron	1940	1	67
2556	5003	00:00.0	2014	36-DREX-A-A16	Cast Iron	1972	53	6	408.26	6	Cast Iron	1972	1	42
2413	5022	00:00.0	2010	36-JACK-B-B26	Ductile Iron	1985	40	6	440.21	6	Cast Iron	1985	1	25
2472	5096	00:00.0	2012	37-JEFF-R-A36	Cast Iron	1959	66	6	1003.96	6	Cast Iron	1959	1	53
2638	5120	00:00.0	2016	46-NORT-A-A26	Cast Iron	1908	117	6	428.1	6	unknown	NULL	1	108
2942	5146	00:00.0	2023	2007_FMSM_NEW_345	Cast Iron	1920	105	6	79.52	6	unknown	NULL	1	103
2079	5148	00:00.0	2003	67-BELLV-A-A16	Asbestos Cement	1947	78	6	1340.21	6	Asbestos Cement	1947	1	56
2281	5148	00:00.0	2008	67-BELLV-A-A16	Asbestos Cement	1947	78	6	1340.21	6	Asbestos Cement	1947	1	61
2598	5186	00:00.0	2015	19-KIM-A-Y16	Cast Iron	1967	58	6	22.57	6	Cast Iron	1967	1	48
2781	5189	00:00.0	2019	19-THOR-D-X28	Ductile Iron	1965	60	8	90.97	8	Ductile Iron	NULL	1	54
1983	5197	00:00.0	2001	110-FAYE-D-A18	Ductile Iron	2001	24	16	975.94	16	Ductile Iron	2001	1	0
2485	5198	00:00.0	2012	110-COFF-R-X28	Ductile Iron	2001	24	8	71.76	8	Ductile Iron	2001	1	11
2566	5202	00:00.0	2014	110-JAME-R-X28	Cast Iron	1970	55	8	297.81	8	Cast Iron	NULL	1	44
1901	5247	00:00.0	1999	29-WEST-A-A16	Cast Iron	1977	48	6	609.41	6	Cast Iron	1977	1	22
2843	5250	00:00.0	2020	29-36THS-S-Y16	Cast Iron	1976	49	6	516.02	6	Cast Iron	NULL	1	44
2883	5250	00:00.0	2021	29-36THS-S-Y16	Cast Iron	1976	49	6	516.02	6	Cast Iron	NULL	1	45
2765	5352	00:00.0	2019	35-WYNN-D-X26	Cast Iron	1958	67	6	32.22	6	Cast Iron	1958	1	61
2761	5389	00:00.0	2018	37-SHARV-D-X16D	Cast Iron	1961	64	6	18.34	6	Ductile Iron	1961	1	57
2884	5421	00:00.0	2021	39-27THS-S-Y14	Cast Iron	1972	53	4	12.3	4	Cast Iron	1972	1	49
2682	5466	00:00.0	2017	39-BUCK-A-X34	Galvanized	1935	90	2	61.6	2	Galvanized	NULL	1	82
2211	5547	00:00.0	2006	46-STEVE-S-B14	Cast Iron	1908	117	6	210.45	1	unknown	1908	1	98
2925	5547	00:00.0	2022	46-STEVE-S-B14	Cast Iron	1908	117	6	210.45	1	unknown	1908	1	114
1998	5550	00:00.0	2001	46-NORT-A-A16	Cast Iron	1930	95	6	34.89	6	unknown	1930	1	71
2654	5562	00:00.0	2016	46-KING-A-X66	Cast Iron	1959	66	6	264.05	6	Cast Iron	1959	1	57
2751	5562	00:00.0	2018	46-KING-A-X66	Cast Iron	1959	66	6	264.05	6	Cast Iron	1959	1	59
2937	5575	00:00.0	2022	47-MANN-S-A36D	Cast Iron	1930	95	6	99.59	6	Cast Iron	NULL	1	92
2678	5751	00:00.0	2017	48-MERC-S-X16	Cast Iron	1923	102	6	68.14	6	Cast Iron	NULL	1	94
2624	5851	00:00.0	2015	2007_FMSM_NEW_656	Ductile Iron	1968	57	6	546.87	6	unknown	1968	1	47
2512	5868	00:00.0	2013	68-WESL-E-A11	Cast Iron	1930	95	1	283.19	1	unknown	NULL	1	83
2657	5868	00:00.0	2016	68-WESL-E-A11	Cast Iron	1930	95	1	283.19	1	unknown	NULL	1	86
2083	5879	00:00.0	2003	29-MOUN-S-A14	Cast Iron	1935	90	4	451.01	4	unknown	1935	1	68
2355	5933	00:00.0	2009	37-JEFF-R-A26	Cast Iron	1959	66	6	717.94	6	Cast Iron	1959	1	50
2217	5935	00:00.0	2006	28-HIGH-B-B16	Cast Iron	1941	84	6	223.1	6	Cast Iron	1941	1	65
2389	5935	00:00.0	2010	28-HIGH-B-B16	Cast Iron	1941	84	6	223.1	6	Cast Iron	1941	1	69
1899	5937	00:00.0	1999	27-KREB-C-A16	Ductile Iron	1977	48	6	792.93	6	unknown	1977	1	22
2133	5937	00:00.0	2004	27-KREB-C-A16	Ductile Iron	1977	48	6	792.93	6	unknown	1977	1	27
2259	5937	00:00.0	2007	27-KREB-C-A16	Ductile Iron	1977	48	6	792.93	6	unknown	1977	1	30
2712	5937	00:00.0	2018	27-KREB-C-A16	Ductile Iron	1977	48	6	792.93	6	unknown	1977	1	41
2719	5937	00:00.0	2018	27-KREB-C-A16	Ductile Iron	1977	48	6	792.93	6	unknown	1977	1	41
2802	5937	00:00.0	2019	27-KREB-C-A16	Ductile Iron	1977	48	6	792.93	6	unknown	1977	1	42
2327	5937	00:00.0	2008	27-KREB-C-A16	Ductile Iron	1977	48	6	792.93	6	unknown	1977	1	31
2354	5937	00:00.0	2009	27-KREB-C-A16	Ductile Iron	1977	48	6	792.93	6	unknown	1977	1	32
2448	5937	00:00.0	2011	27-KREB-C-A16	Ductile Iron	1977	48	6	792.93	6	unknown	1977	1	34
2047	5938	00:00.0	2003	28-CHURW-S-C16	Cast Iron	1930	95	6	499.02	6	Cast Iron	1930	1	73
2154	5938	00:00.0	2004	28-CHURW-S-C16	Cast Iron	1930	95	6	499.02	6	Cast Iron	1930	1	74
2155	5939	00:00.0	2004	28-COUNC-D-A16	Cast Iron	1960	65	6	358.54	6	Ductile Iron	1960	1	44
2764	5946	00:00.0	2019	29-CHER-D-B16	Cast Iron	1965	60	6	283.44	6	Cast Iron	1965	1	54
2591	5947	00:00.0	2015	29-CHER-D-B26	Ductile Iron	1965	60	6	378.78	6	Ductile Iron	1965	1	50
2935	5947	00:00.0	2022	29-CHER-D-B26	Ductile Iron	1965	60	6	378.78	6	Ductile Iron	1965	1	57
2152	5950	00:00.0	2004	29-40THN-S-B16	Cast Iron	1973	52	6	603.57	6	Cast Iron	1973	1	31
2187	5950	00:00.0	2005	29-40THN-S-B16	Cast Iron	1973	52	6	603.57	6	Cast Iron	1973	1	32
2203	5953	00:00.0	2006	19-ANNE-A-A16	Ductile Iron	1970	55	6	255.23	6	Ductile Iron	1970	1	36
2314	5957	00:00.0	2008	29-GREEE-D-A16	Cast Iron	1977	48	6	1307.81	6	Cast Iron	1977	1	31
2526	5957	00:00.0	2013	29-GREEE-D-A16	Cast Iron	1977	48	6	1307.81	6	Cast Iron	1977	1	36
2592	5957	00:00.0	2015	29-GREEE-D-A16	Cast Iron	1977	48	6	1307.81	6	Cast Iron	1977	1	38
2784	5969	00:00.0	2019	43-RENA-D-A16	Asbestos Cement	1972	53	6	1928.39	6	Asbestos Cement	1972	1	47
2289	6010	00:00.0	2008	68-PARK-A-B16	Ductile Iron	2007	18	6	2.68	6	Ductile Iron	2007	1	1
2519	6025	00:00.0	2013	57-LEXI-A-A26	Cast Iron	1931	94	6	578.88	6	Cast Iron	1931	1	82
2471	6028	00:00.0	2012	57-LEXI-A-X26	Cast Iron	1961	64	6	33.3	6	Cast Iron	1961	1	51
2731	6031	00:00.0	2018	57-OAKW-A-F16	Cast Iron	1931	94	6	312.68	6	Cast Iron	1931	1	87
2228	6034	00:00.0	2006	57-LEXI-A-A46	Cast Iron	1931	94	6	632.35	6	Cast Iron	1931	1	75
2523	6034	00:00.0	2013	57-LEXI-A-A46	Cast Iron	1931	94	6	632.35	6	Cast Iron	1931	1	82
2529	6034	00:00.0	2013	57-LEXI-A-A46	Cast Iron	1931	94	6	632.35	6	Cast Iron	1931	1	82
2821	6066	00:00.0	2020	37-SARA-A-A26	Cast Iron	1954	71	6	488.35	6	Cast Iron	1954	1	66
2860	6066	00:00.0	2021	37-SARA-A-A26	Cast Iron	1954	71	6	488.35	6	Cast Iron	1954	1	67
2270	6068	00:00.0	2007	37-NANC-L-A16	Cast Iron	1956	69	6	239.59	6	Cast Iron	1956	1	51
2170	6069	00:00.0	2005	47-GRAN-S-A86	Cast Iron	1908	117	6	228.67	6	Cast Iron	1908	1	97
2291	6090	00:00.0	2008	38-PARK-D-A14	Cast Iron	1954	71	1	388.05	1	unknown	1954	1	54
2617	6090	00:00.0	2015	38-PARK-D-A14	Cast Iron	1954	71	1	388.05	1	unknown	1954	1	61
1926	6117	00:00.0	2000	28-FRAS-D-A16	Ductile Iron	1992	33	6	962.41	6	Ductile Iron	1992	1	8
2535	6127	00:00.0	2013	56-SUNS-D-A16	Asbestos Cement	1970	55	6	751.01	6	Asbestos Cement	1970	1	43
2359	6129	00:00.0	2009	56-DOGW-D-A16	Asbestos Cement	1970	55	6	372.91	6	Asbestos Cement	1970	1	39
2045	6134	00:00.0	2003	56-SKYL-D-A26	Asbestos Cement	1970	55	6	412.67	6	Asbestos Cement	1970	1	33
2847	6138	00:00.0	2020	56-BUENVN-S-Z18	Ductile Iron	1971	54	8	512.13	8	Ductile Iron	1971	1	49
2875	6138	00:00.0	2021	56-BUENVN-S-Z18	Ductile Iron	1971	54	8	512.13	8	Ductile Iron	1971	1	50
