ID	Diameter	Material	InstallYear	OrgMaterial	OrgDiameter	Status	INSTALL_DATE	BreakYear	BreakDate	Failure_ID	BreakAge
1	6	DI	1967	DI	6	1	1967	NULL	NULL	NULL	NULL
4	6	DI	1984	DI	6	1	1984	NULL	NULL	NULL	NULL
6	16	DI	1984	DI	16	1	1984	NULL	NULL	NULL	NULL
7	24	CI	1959	CI	24	1	1959	NULL	NULL	NULL	NULL
8	4	CI	1959	CI	4	1	1959	NULL	NULL	NULL	NULL
9	24	CI	1959	CI	24	1	1959	NULL	NULL	NULL	NULL
10	8	DI	1992	DI	8	1	1992	NULL	NULL	NULL	NULL
11	36	DI	1992	DI	36	1	1992	NULL	NULL	NULL	NULL
12	4	DI	1992	DI	4	1	1992	NULL	NULL	NULL	NULL
13	6	AC	1961	AC	6	1	1961	NULL	NULL	NULL	NULL
14	6	DI	1965	DI	6	1	NULL	NULL	NULL	NULL	NULL
15	6	CI	1970	CI	6	1	1970	NULL	NULL	NULL	NULL
16	8	DI	1999	DI	8	1	1999	NULL	NULL	NULL	NULL
17	8	DI	2000	DI	8	1	2000	NULL	NULL	NULL	NULL
18	6	CI	1957	CI	6	1	1957	NULL	NULL	NULL	NULL
19	6	CI	1957	CI	6	1	1957	2014	2014-11-20 00:00:00.000	234887	57
19	6	CI	1957	CI	6	1	1957	2016	2016-11-02 00:00:00.000	234888	59
19	6	CI	1957	CI	6	1	1957	2015	2015-11-27 00:00:00.000	235050	58
19	6	CI	1957	CI	6	1	1957	2014	2014-11-20 00:00:00.000	235051	57
20	8	DI	2008	DI	8	1	2008	NULL	NULL	NULL	NULL
21	6	DI	1997	DI	6	1	1997	NULL	NULL	NULL	NULL
22	10	DI	1984	DI	10	1	1984	NULL	NULL	NULL	NULL
23	6	DI	1965	DI	6	1	NULL	NULL	NULL	NULL	NULL
24	10	DI	1979	DI	10	1	1979	NULL	NULL	NULL	NULL
25	8	DI	1973	DI	8	1	1973	NULL	NULL	NULL	NULL
26	8	DI	1992	DI	8	1	1992	NULL	NULL	NULL	NULL
27	8	DI	1989	DI	8	1	1989	NULL	NULL	NULL	NULL
28	8	DI	1992	DI	8	1	1992	NULL	NULL	NULL	NULL
29	8	DI	2000	DI	8	1	2000	NULL	NULL	NULL	NULL
30	8	DI	2000	DI	8	1	2000	NULL	NULL	NULL	NULL
31	8	DI	1990	DI	8	1	1990	NULL	NULL	NULL	NULL
32	6	DI	1990	DI	6	1	1990	NULL	NULL	NULL	NULL
33	8	DI	2000	DI	8	1	2000	NULL	NULL	NULL	NULL
34	6	DI	2000	DI	6	1	2000	NULL	NULL	NULL	NULL
35	6	DI	1965	DI	6	1	NULL	NULL	NULL	NULL	NULL
36	10	DI	1988	DI	10	1	1988	NULL	NULL	NULL	NULL
37	6	DI	1965	DI	6	1	NULL	NULL	NULL	NULL	NULL
38	8	DI	1988	DI	8	1	1988	NULL	NULL	NULL	NULL
39	8	DI	1986	CI	8	1	1986	NULL	NULL	NULL	NULL
40	6	DI	1986	CI	6	1	1986	NULL	NULL	NULL	NULL
41	8	DI	1986	CI	8	1	1986	NULL	NULL	NULL	NULL
42	8	DI	1986	CI	8	1	1986	NULL	NULL	NULL	NULL
43	6	DI	1986	CI	6	1	1986	NULL	NULL	NULL	NULL
44	6	DI	1986	CI	6	1	1986	NULL	NULL	NULL	NULL
45	8	DI	1986	CI	8	1	1986	NULL	NULL	NULL	NULL
46	6	DI	1986	CI	6	1	1986	NULL	NULL	NULL	NULL
47	6	DI	1986	CI	6	1	1986	NULL	NULL	NULL	NULL
48	8	DI	1986	CI	8	1	1986	NULL	NULL	NULL	NULL
49	8	DI	1986	CI	8	1	1986	NULL	NULL	NULL	NULL
50	6	CI	1910	CI	6	1	NULL	NULL	NULL	NULL	NULL
51	6	CI	1910	CI	6	1	NULL	NULL	NULL	NULL	NULL
52	6	CI	1910	CI	6	1	NULL	NULL	NULL	NULL	NULL
53	6	CI	1970	CI	6	1	1970	2022	2022-05-17 01:30:00.000	238947	52
54	2	GA	1970	GA	2	1	1970	NULL	NULL	NULL	NULL
55	6	CI	1910	CI	6	1	NULL	NULL	NULL	NULL	NULL
56	24	DI	1992	DI	24	1	1992	NULL	NULL	NULL	NULL
57	8	DI	1992	DI	8	1	1992	NULL	NULL	NULL	NULL
58	6	DI	1992	DI	6	1	1992	NULL	NULL	NULL	NULL
61	8	CI	1967	CI	8	1	1967	NULL	NULL	NULL	NULL
62	6	CI	1910	CI	6	1	UNK	NULL	NULL	NULL	NULL
63	6	CI	1967	CI	6	1	1967	NULL	NULL	NULL	NULL
64	2	GA	1981	GA	2	1	1981	NULL	NULL	NULL	NULL
65	60	PCCP	1980	CI	60	1	CI	NULL	NULL	NULL	NULL
66	8	CI	1947	CI	8	1	1947	NULL	NULL	NULL	NULL
67	6	CI	1911	CI	6	1	1911	NULL	NULL	NULL	NULL
68	8	DI	1981	DI	8	1	1981	2016	2016-08-11 00:00:00.000	235045	35
68	8	DI	1981	DI	8	1	1981	2021	2021-04-17 02:00:00.000	238057	40
69	10	DI	1979	DI	10	1	1979	NULL	NULL	NULL	NULL
71	12	CI	1953	CI	12	1	1953	NULL	NULL	NULL	NULL
72	8	PVC	1980	PVC	8	1	1980	NULL	NULL	NULL	NULL
73	8	PVC	1983	PVC	8	1	1983	NULL	NULL	NULL	NULL
74	8	CI	1974	CI	8	1	1974	NULL	NULL	NULL	NULL
75	8	CI	1974	CI	8	1	1974	NULL	NULL	NULL	NULL
76	6	DI	1965	DI	6	1	NULL	NULL	NULL	NULL	NULL
77	6	DI	1965	DI	6	1	NULL	NULL	NULL	NULL	NULL
78	8	CI	1977	CI	8	1	1977	NULL	NULL	NULL	NULL
79	6	AC	1966	AC	6	1	1966	NULL	NULL	NULL	NULL
80	6	DI	1965	DI	6	1	NULL	NULL	NULL	NULL	NULL
81	6	AC	1966	AC	6	1	1966	NULL	NULL	NULL	NULL
82	6	DI	1965	DI	6	1	NULL	NULL	NULL	NULL	NULL
83	10	DI	1988	DI	10	1	1988	2018	2018-03-07 00:00:00.000	233084	30
84	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
85	8	CI	1972	CI	8	1	1972	NULL	NULL	NULL	NULL
86	6	DI	1991	CI	6	1	1991	NULL	NULL	NULL	NULL
87	8	DI	2000	DI	8	1	2000	NULL	NULL	NULL	NULL
88	12	DI	1989	DI	12	1	1989	NULL	NULL	NULL	NULL
89	12	DI	1975	DI	12	1	1975	NULL	NULL	NULL	NULL
91	8	DI	1996	DI	8	1	1996	NULL	NULL	NULL	NULL
92	8	DI	1976	DI	8	1	1976	NULL	NULL	NULL	NULL
93	8	CI	1911	CI	8	1	1911	NULL	NULL	NULL	NULL
94	6	DI	1976	DI	6	1	1976	NULL	NULL	NULL	NULL
95	8	CI	1911	CI	8	1	1911	NULL	NULL	NULL	NULL
96	6	CI	1911	CI	6	1	1911	NULL	NULL	NULL	NULL
