ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	InstallDate	BreakYear	BreakDate	Description	Failure_ID	BreakAge
4	6	DI	1973	CI	1973	6	1	1973-07-17 00:00:00.0000000	2013	2013-11-27 08:55:00.000	Water Main Repair	590	40
4	6	DI	1973	CI	1973	6	1	1973-07-17 00:00:00.0000000	2018	2018-05-25 05:28:00.000	Water Main Repair	2543	45
5	24	CI	1960	CI	1960	24	1	1960-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
10	6	CI	1914	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL	NULL
14	20	CI	1960	CI	1960	20	1	1960-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
32	6	DI	1985	DI	1985	6	1	1985-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
33	6	DI	1985	DI	1985	6	1	1985-09-26 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
34	6	DI	1965	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL	NULL
41	6	CI	1914	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL	NULL
45	6	CI	1944	CI	1944	6	0	1944-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
77	6	DI	1972	CI	1972	6	1	1972-08-21 00:00:00.0000000	2013	2013-11-05 11:34:00.000	Water Main Repair	576	41
97	6	CI	1967	CI	1967	6	1	1967-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
122	6	DI	1965	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL	NULL
124	8	CI	1965	CI	1965	8	1	1965-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
138	8	CI	1965	CI	1965	8	1	1965-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
139	8	DI	1975	DI	1975	8	1	1975-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
152	8	DI	1978	DI	1978	8	1	1978-06-20 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
156	8	DI	1973	CI	1973	8	1	1973-03-06 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
162	8	CI	1956	PVC	1956	8	1	1956-05-31 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
168	1	GAL	1996	GAL	1996	1	0	1996-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
170	6	PVC	1997	PVC	1997	6	1	1997-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
176	6	DI	1997	CI	1997	6	1	1997-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
182	6	PVC	1997	PVC	1997	6	1	1997-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
190	8	PVC	1985	PVC	1985	8	1	1985-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
193	8	PVC	1985	PVC	1985	8	1	1985-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
196	8	PVC	2005	PVC	2005	8	1	2005-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
203	8	PVC	1990	PVC	1990	8	1	1990-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
206	8	PVC	1991	PVC	1991	8	1	1991-10-21 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
208	8	PVC	1990	PVC	1990	8	1	1990-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
215	8	PVC	1985	PVC	1985	8	1	1985-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
222	8	PVC	1996	PVC	1996	8	1	1996-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
231	8	PVC	1985	PVC	1985	8	1	1985-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
234	8	PVC	1996	PVC	1996	8	1	1996-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
244	6	DI	1975	PVC	1975	6	1	1975-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
245	6	PVC	1985	PVC	1985	6	1	1985-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
255	8	PVC	1999	PVC	1999	8	1	1999-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
262	12	PVC	1989	PVC	1989	12	1	1989-10-04 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
273	6	DI	1965	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL	NULL
276	6	CI	1944	DI	1944	6	0	1944-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
277	6	CI	1944	DI	1944	6	0	1944-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
278	12	PVC	1987	PVC	1987	12	1	1987-03-18 00:00:00.0000000	2021	2021-09-21 08:38:00.000	Water Main Leak	3634	34
279	12	PVC	1995	PVC	1995	12	1	1995-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
284	8	PVC	2010	PVC	2010	8	1	2010-07-26 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
286	6	PVC	1996	PVC	1996	6	1	1996-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
290	12	PVC	2002	PVC	2002	12	1	2002-04-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
297	6	PVC	1996	PVC	1996	6	1	1996-07-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
299	6	PVC	1996	PVC	1996	6	0	1996-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
303	12	PVC	1995	PVC	1995	12	1	1995-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
309	8	PVC	1997	PVC	1997	8	1	1997-08-07 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
312	8	PVC	1997	PVC	1997	8	1	1997-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
313	6	DI	1965	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL	NULL
334	12	CI	1923	CI	1923	12	1	1923-06-01 00:00:00.0000000	2021	2021-11-03 10:49:00.000	Water Main Leak	3654	98
343	12	PVC	1994	PVC	1994	12	1	1994-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
347	8	PVC	1994	PVC	1994	8	1	1994-11-15 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
348	8	PVC	1994	PVC	1994	8	1	1994-11-15 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
350	6	DI	1994	DI	1994	6	0	1994-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
351	8	PVC	1994	PVC	1994	8	1	1994-11-15 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
358	8	CI	1923	CI	1923	8	1	1923-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
367	8	AC	1955	Trans	1955	8	1	1955-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
371	6	CI	1923	CI	1923	6	1	1923-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
379	6	PVC	1996	PVC	1996	6	1	1996-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
384	12	AC	1955	AC	1955	12	1	1955-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
388	6	AC	1955	AC	1955	6	1	1955-06-01 00:00:00.0000000	2020	2020-02-15 03:20:00.000	Water Main Leak	3109	65
409	2	DI	1975	PVC	1975	2	0	1975-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
427	8	PVC	1989	PVC	1989	8	1	1989-10-31 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
1081	8	PVC	1984	PVC	1984	8	1	1984-08-17 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
1089	8	PVC	1985	PVC	1985	8	1	1985-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
1097	8	PVC	1985	PVC	1985	8	1	1985-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
1101	8	PVC	1993	PVC	1993	8	1	1993-04-23 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
1105	8	PVC	1995	PVC	1995	8	1	1995-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
1108	6	DI	1965	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL	NULL
1110	8	PVC	1995	PVC	1995	8	1	1995-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
1120	8	PVC	2000	PVC	2000	8	1	2000-03-06 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
1131	8	DI	1985	DI	1985	8	1	1985-10-27 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
1133	8	DI	1985	DI	1985	8	1	1985-10-27 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
1134	8	DI	1985	DI	1985	8	1	1985-10-27 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
