Failure_ID	ID	BreakDate	BreakYear	SourceTxt_ID	Material	InstallYear	Age	RR_Diameter	Length(ft)	OrgDiameter	OrgMaterial	OrgInstallYear	Status	BreakAge
43583	881	05:46.0	2021	w649605	POLYE	2020	5	2	41.37	2	POLYE	2020	1	1
46903	5339	02:55.0	2022	w661085	PVC	1970	55	3	30.59	3	PVC	1901	1	52
43522	6052	03:49.0	2020	w290177	GLV	1972	53	2	1213.67	2	GLV	1972	1	48
47967	6052	01:14.0	2019	w290177	GLV	1972	53	2	1213.67	2	GLV	1972	1	47
43644	6052	00:39.0	2019	w290177	GLV	1972	53	2	1213.67	2	GLV	1972	1	47
43645	6052	00:48.0	2022	w290177	GLV	1972	53	2	1213.67	2	GLV	1972	1	50
43339	6052	05:49.0	2020	w290177	GLV	1972	53	2	1213.67	2	GLV	1972	1	48
43827	6052	01:39.0	2018	w290177	GLV	1972	53	2	1213.67	2	GLV	1972	1	46
43584	14066	04:57.0	2021	w318799	PVC	1980	45	4	332.78	4	PVC	1980	1	41
43828	19261	04:32.0	2022	w281627	AC	1973	52	6	111.19	6	AC	1973	1	49
43523	24382	05:45.0	2025	w683228	GLV?	1983	42	2	473.53	2	PVC	1983	1	42
43340	24382	04:47.0	2021	w683228	GLV?	1983	42	2	473.53	2	PVC	1983	1	38
43829	24382	02:04.0	2021	w683228	GLV?	1983	42	2	473.53	2	PVC	1983	1	38
48774	26778	01:45.0	2018	w317262	PVC	1980	45	4	577.05	4	PVC	1980	1	38
48594	27502	05:58.0	2018	w989589	GLV?	1940	85	2	54.18	2	PVC	1901	1	78
47783	46262	01:08.0	2019	w255106	GLV	1959	66	2	26.97	2	GLV	1959	1	60
46651	47362	00:39.0	2019	w341676	PVC	2004	21	6	1680.58	6	PVC	2004	1	15
48595	47362	05:47.0	2018	w341676	PVC	2004	21	6	1680.58	6	PVC	2004	1	14
48596	47362	04:34.0	2018	w341676	PVC	2004	21	6	1680.58	6	PVC	2004	1	14
48597	47362	01:32.0	2018	w341676	PVC	2004	21	6	1680.58	6	PVC	2004	1	14
47668	47362	03:30.0	2023	w341676	PVC	2004	21	6	1680.58	6	PVC	2004	1	19
47358	47362	04:20.0	2022	w341676	PVC	2004	21	6	1680.58	6	PVC	2004	1	18
44925	49041	03:02.0	2023	w221341	GLV	1950	75	2	55.51	2	GLV	1950	1	73
46777	49044	01:48.0	2021	w221381	PVC	1980	45	12	630.22	12	PVC	1980	1	41
48598	49044	02:17.0	2018	w221381	PVC	1980	45	12	630.22	12	PVC	1980	1	38
48775	49599	00:18.0	2024	w665010	PVC	2020	5	8	11.16	8	PVC	2020	1	4
43341	56016	05:07.0	2022	w716903	GLV?	1940	85	2	17.88	2	PVC	NULL	1	82
47784	57051	03:36.0	2018	w78158	PVC	1999	26	6	11.93	6	PVC	1999	1	19
