ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	INSTALLDAT	BreakYear	BreakDate	Failure_ID	BreakAge
1	6	PVC	2001	PVC	2001	6	1	2001-03-23 00:00:00.0000000	NULL	NULL	NULL	NULL
2	6	PVC	2003	PVC	2003	6	1	2003-03-13 00:00:00.0000000	NULL	NULL	NULL	NULL
3	1	GS	1952	GS	1952	1	0	1952-06-19 00:00:00.0000000	2021	2021-08-16 12:00:00.000	2496	69
3	1	GS	1952	GS	1952	1	0	1952-06-19 00:00:00.0000000	2017	2017-04-17 08:13:40.000	2497	65
3	1	GS	1952	GS	1952	1	0	1952-06-19 00:00:00.0000000	2020	2020-08-01 16:41:37.000	2498	68
3	1	GS	1952	GS	1952	1	0	1952-06-19 00:00:00.0000000	2015	2015-08-24 08:18:30.000	2499	63
3	1	GS	1952	GS	1952	1	0	1952-06-19 00:00:00.0000000	2022	2022-07-09 18:34:16.000	2500	70
3	1	GS	1952	GS	1952	1	0	1952-06-19 00:00:00.0000000	2013	2013-11-15 17:15:00.000	2923	61
4	6	PVC	2003	PVC	2003	6	1	2003-05-15 00:00:00.0000000	NULL	NULL	NULL	NULL
5	4	PVC	1999	PVC	1999	4	1	1999-03-05 00:00:00.0000000	NULL	NULL	NULL	NULL
6	4	PVC	2000	PVC	2000	4	1	2000-02-01 00:00:00.0000000	NULL	NULL	NULL	NULL
7	4	PVC	2000	PVC	2000	4	1	2000-02-01 00:00:00.0000000	NULL	NULL	NULL	NULL
8	4	PVC	2000	PVC	2000	4	1	2000-02-01 00:00:00.0000000	NULL	NULL	NULL	NULL
9	8	PVC	1997	PVC	1997	8	1	1997-10-24 00:00:00.0000000	NULL	NULL	NULL	NULL
10	6	PVC	1997	PVC	1997	6	1	1997-10-24 00:00:00.0000000	NULL	NULL	NULL	NULL
11	8	PVC	1996	PVC	1996	8	1	1996-08-22 00:00:00.0000000	NULL	NULL	NULL	NULL
12	8	PVC	1999	PVC	1999	8	1	1999-07-13 00:00:00.0000000	NULL	NULL	NULL	NULL
13	8	PVC	2001	PVC	2001	8	1	2001-04-05 00:00:00.0000000	2014	2014-03-10 07:21:36.000	1927	13
14	8	PVC	1985	PVC	1985	8	1	1985-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
15	6	PVC	1985	PVC	1985	6	1	1985-06-20 00:00:00.0000000	NULL	NULL	NULL	NULL
16	2	PVC	2011	PVC	2011	2	1	2011-07-03 00:00:00.0000000	NULL	NULL	NULL	NULL
17	2	PVC	2011	PVC	2011	2	1	2011-07-03 00:00:00.0000000	NULL	NULL	NULL	NULL
18	4	PVC	1989	PVC	1989	4	1	1989-06-28 00:00:00.0000000	NULL	NULL	NULL	NULL
19	8	PVC	1985	PVC	1985	8	1	1985-06-18 00:00:00.0000000	NULL	NULL	NULL	NULL
