ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	PP_INST_DT	Type	BreakYear	BreakDate	ValidBreak	FailureNotes	Failure_ID	BreakAge
5001	4	Cast Iron	1948	Cast Iron	1948	4	1	1948-01-01 00:00:00.000	Distribution	2002	2002-12-05 00:00:00.000	1	Weather Conditions, Circumferential	2030	54
5001	4	Cast Iron	1948	Cast Iron	1948	4	1	1948-01-01 00:00:00.000	Distribution	2016	2016-01-07 00:00:00.000	1	Weather Conditions	2633	68
5001	4	Cast Iron	1948	Cast Iron	1948	4	1	1948-01-01 00:00:00.000	Distribution	2020	2020-01-14 00:00:00.000	1	Circumferential	2813	72
5001	4	Cast Iron	1948	Cast Iron	1948	4	1	1948-01-01 00:00:00.000	Distribution	2020	2020-07-14 00:00:00.000	1	Corrosion, Circumferential	2830	72
5002	6	Cast Iron	1940	Cast Iron	1940	6	1	1940-01-01 00:00:00.000	Distribution	2003	2003-04-11 00:00:00.000	1	Weather Conditions, Circumferential	2060	63
5002	6	Cast Iron	1940	Cast Iron	1940	6	1	1940-01-01 00:00:00.000	Distribution	2007	2007-02-28 00:00:00.000	1	Weather Conditions, Circumferential	2248	67
5003	6	Cast Iron	1972	Cast Iron	1972	6	1	1972-01-01 00:00:00.000	Distribution	2014	2014-02-14 00:00:00.000	1	Circumferential	2556	42
5004	4	Cast Iron	1948	Cast Iron	1948	4	1	1948-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5005	8	Cast Iron	1941	Cast Iron	1941	8	1	1941-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5006	6	Cast Iron	1904	Cast Iron	1904	6	1	1904-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5007	8	Cast Iron	1941	Cast Iron	1941	8	1	1941-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5008	8	Cast Iron	1931	Cast Iron	1931	8	1	1931-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5009	8	Cast Iron	1931	Cast Iron	1931	8	1	1931-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5010	6	Cast Iron	1930	Cast Iron	1930	6	1	1930-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5011	6	Cast Iron	1913	Cast Iron	1913	6	1	1913-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5012	8	Cast Iron	1913	Cast Iron	1913	8	1	1913-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5013	6	Cast Iron	1930	Cast Iron	1930	6	1	1930-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
