ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	InstallDate	BreakYear	BreakDate	Failure_ID	BreakAge
56990	12	DI	1973	DI	NULL	12	1	NULL	NULL	NULL	NULL	NULL
56991	12	DI	1973	DI	NULL	12	1	NULL	NULL	NULL	NULL	NULL
56992	12	DI	1973	DI	NULL	12	1	NULL	NULL	NULL	NULL	NULL
56993	10	DI	1973	DI	NULL	10	1	NULL	NULL	NULL	NULL	NULL
56994	12	DI	1973	DI	NULL	12	1	NULL	NULL	NULL	NULL	NULL
56995	10	DI	1973	DI	NULL	10	1	NULL	NULL	NULL	NULL	NULL
56996	6	DI	1995	DI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
56997	6	DI	1987	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
56998	8	DI	1985	DI	NULL	8	1	NULL	NULL	NULL	NULL	NULL
56999	8	DI	1995	DI	NULL	8	1	NULL	NULL	NULL	NULL	NULL
57000	8	DI	1985	DI	NULL	8	1	NULL	NULL	NULL	NULL	NULL
57001	6	DI	1987	DI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
57002	6	DI	1987	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
57003	12	CI	1952	DI	NULL	12	1	NULL	NULL	NULL	NULL	NULL
57004	12	CI	1952	DI	NULL	12	1	NULL	NULL	NULL	NULL	NULL
57005	12	CI	1952	DI	NULL	12	1	NULL	NULL	NULL	NULL	NULL
57006	12	CI	1952	DI	NULL	12	1	NULL	NULL	NULL	NULL	NULL
57007	20	CI	1952	CI	NULL	20	1	NULL	NULL	NULL	NULL	NULL
57008	20	CI	1952	DI	NULL	20	1	NULL	NULL	NULL	NULL	NULL
57009	20	CI	1952	DI	NULL	20	1	NULL	NULL	NULL	NULL	NULL
57010	6	CI	1952	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
57011	10	CI	1952	DI	NULL	10	1	NULL	NULL	NULL	NULL	NULL
57012	6	CI	1964	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
57013	16	CI	1964	CI	NULL	16	1	NULL	NULL	NULL	NULL	NULL
57014	16	CI	1964	CI	NULL	16	1	NULL	NULL	NULL	NULL	NULL
57015	12	CI	1964	DI	NULL	12	1	NULL	NULL	NULL	NULL	NULL
57016	16	CI	1964	DI	NULL	16	1	NULL	NULL	NULL	NULL	NULL
57017	8	DI	1975	DI	NULL	8	1	NULL	NULL	NULL	NULL	NULL
57018	12	DI	2005	CI	NULL	12	1	NULL	NULL	NULL	NULL	NULL
57019	16	CI	1964	DI	NULL	16	1	NULL	NULL	NULL	NULL	NULL
57020	6	DI	1981	CI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
